date,block,beds,psf,area,price
2023-10-01,1,3,1675,1205,2018000
2022-11-01,1,4,1655,1378,2280000
2022-08-01,1,2,1475,915,1350000
2022-07-01,1,4,1582,1378,2180000
2022-03-01,1,2,1441,1055,1520000
2022-01-01,1,3,1506,1248,1880000
2022-01-01,1,3,1476,1152,1700000
2021-09-01,1,3,1222,1637,2000000
2021-07-01,1,2,1398,1066,1490000
2021-05-01,1,2,1383,904,1250000
2021-05-01,1,3,1455,1292,1880000
2021-04-01,1,2,1377,915,1260000
2021-01-01,1,2,1311,915,1200000
2020-10-01,1,2,1344,915,1230000
2020-09-01,1,2,1414,904,1278000
2020-01-01,1,3,1406,1248,1755000
2019-12-01,1,2,1308,1055,1380000
2019-08-01,1,2,1304,1066,1390000
2019-05-01,1,3,1345,1152,1550000
2019-03-01,1,4,1365,1377,1880000
2018-08-01,1,2,1378,958,1320000
2018-06-01,1,3,1249,1281,1600000
2018-05-01,1,3,1369,1205,1650000
2018-02-01,1,2,1211,1065,1290000
2018-02-01,1,4,1270,1378,1750000
2017-10-01,1,3,1216,1151,1400000
2017-10-01,1,3,1261,1281,1615000
2017-10-01,1,2,1232,958,1180000
2017-09-01,1,2,1222,1055,1289000
2017-08-01,1,3,1216,1151,1400000
2017-07-01,1,3,1170,1205,1410000
2017-04-01,1,3,1223,1292,1580000
2017-04-01,1,3,1145,1205,1380000
2017-02-01,1,3,1161,1206,1400000
2016-10-01,1,3,1181,1152,1360000
2016-10-01,1,2,1126,1055,1188000
2016-10-01,1,2,1191,915,1090000
2016-05-01,1,2,1283,904,1160000
2016-03-01,1,3,1047,1528,1600000
2015-11-01,1,3,1181,1152,1360000
2014-10-01,1,2,1253,958,1200000
2014-09-01,1,2,1257,915,1150000
2014-01-01,1,2,1315,1065,1400000
2013-01-01,1,2,1357,958,1300000
2013-01-01,1,2,1357,958,1300000
2012-11-01,1,2,1344,915,1230000
2012-11-01,1,2,1346,914,1230000
2012-10-01,1,2,1245,1055,1313000
2012-10-01,1,4,1234,1378,1700000
2012-10-01,1,3,1263,1152,1455000
2012-10-01,1,3,1264,1151,1455000
2012-09-01,1,3,1281,1249,1600000
2012-09-01,1,3,1281,1249,1600000
2012-09-01,1,3,1232,1205,1485000
2012-06-01,1,4,1211,1377,1668000
2012-06-01,1,4,1211,1377,1668000
2012-06-01,1,3,1226,1248,1530000
2012-06-01,1,3,1225,1249,1530000
2012-05-01,1,2,1162,904,1050000
2012-05-01,1,2,1162,904,1050000
2012-05-01,1,3,1202,1206,1450000
2012-05-01,1,3,1169,1292,1510000
2012-05-01,1,3,1169,1292,1510000
2012-03-01,1,3,1091,1291,1409000
2012-03-01,1,3,1091,1291,1409000
2012-03-01,1,3,1091,1291,1409000
2012-03-01,1,2,1117,904,1010000
2012-03-01,1,2,1117,904,1010000
2012-03-01,1,2,1117,904,1010000
2012-03-01,1,3,1145,1249,1430000
2012-03-01,1,3,1145,1249,1430000
2012-03-01,1,3,1145,1249,1430000
2012-02-01,1,2,616,1055,650000
2011-11-01,1,2,1213,915,1110000
2011-11-01,1,2,1213,915,1110000
2011-11-01,1,2,1213,915,1110000
2011-07-01,1,3,1172,1152,1350000
2011-07-01,1,3,1172,1152,1350000
2011-07-01,1,3,1172,1152,1350000
2011-05-01,1,2,1211,904,1095000
2011-05-01,1,2,1211,904,1095000
2011-05-01,1,2,1211,904,1095000
2011-05-01,1,2,1126,915,1030000
2011-05-01,1,2,1126,915,1030000
2011-05-01,1,2,1126,915,1030000
2011-04-01,1,3,1121,1249,1400000
2011-04-01,1,3,1121,1249,1400000
2011-04-01,1,3,1121,1249,1400000
2011-04-01,1,2,1167,958,1118000
2011-04-01,1,2,1167,958,1118000
2011-04-01,1,2,1167,958,1118000
2011-03-01,1,3,868,1561,1355000
2011-03-01,1,3,868,1561,1355000
2011-03-01,1,3,868,1561,1355000
2011-03-01,1,2,1091,915,998000
2011-03-01,1,2,1091,915,998000
2011-03-01,1,2,1091,915,998000
2011-03-01,1,4,1079,1378,1487000
2011-03-01,1,4,1079,1378,1487000
2011-03-01,1,4,1079,1378,1487000
2011-01-01,1,3,1042,1152,1200000
2011-01-01,1,3,1042,1152,1200000
2011-01-01,1,3,1042,1152,1200000
2011-01-01,1,3,1073,1249,1340000
2011-01-01,1,4,1036,1378,1428000
2011-01-01,1,4,1036,1378,1428000
2011-01-01,1,4,1036,1378,1428000
2011-01-01,1,2,1096,958,1050000
2011-01-01,1,2,1096,958,1050000
2011-01-01,1,2,1096,958,1050000
2010-12-01,1,3,1076,1206,1298000
2010-12-01,1,3,1077,1205,1298000
2010-12-01,1,3,1076,1206,1298000
2010-12-01,1,2,995,1055,1050000
2010-12-01,1,2,995,1055,1050000
2010-12-01,1,2,995,1055,1050000
2010-09-01,1,3,1102,1152,1270000
2010-09-01,1,3,1103,1151,1270000
2010-09-01,1,3,1102,1152,1270000
2010-08-01,1,3,958,1206,1155000
2010-08-01,1,3,958,1206,1155000
2010-08-01,1,3,958,1206,1155000
2010-07-01,1,3,944,1206,1138000
2010-07-01,1,3,944,1206,1138000
2010-07-01,1,3,944,1206,1138000
2010-07-01,1,2,1027,915,940000
2010-07-01,1,2,1027,915,940000
2010-07-01,1,2,1027,915,940000
2010-06-01,1,3,991,1282,1270000
2010-04-01,1,2,1071,904,968000
2010-04-01,1,2,1071,904,968000
2010-04-01,1,2,1071,904,968000
2010-04-01,1,2,901,1065,960000
2010-04-01,1,2,901,1065,960000
2010-04-01,1,2,901,1065,960000
2010-04-01,1,3,930,1205,1121000
2010-04-01,1,3,930,1205,1121000
2010-04-01,1,3,930,1205,1121000
2010-04-01,1,3,774,1292,1000000
2010-03-01,1,2,950,1066,1013000
2010-03-01,1,2,950,1066,1013000
2010-03-01,1,2,950,1066,1013000
2010-02-01,1,3,921,1249,1150000
2010-02-01,1,3,921,1249,1150000
2010-02-01,1,3,921,1249,1150000
2010-02-01,1,2,937,958,898000
2010-02-01,1,2,940,904,850000
2010-02-01,1,2,940,904,850000
2010-02-01,1,2,940,904,850000
2010-01-01,1,2,891,1066,950000
2009-12-01,1,2,927,915,848000
2009-12-01,1,2,927,915,848000
2009-12-01,1,2,927,915,848000
2009-12-01,1,3,871,1206,1050000
2009-12-01,1,3,871,1206,1050000
2009-12-01,1,3,871,1206,1050000
2009-11-01,1,3,752,1529,1150000
2009-11-01,1,3,753,1528,1150000
2009-11-01,1,3,753,1528,1150000
2009-11-01,1,3,845,1249,1055000
2009-07-01,1,2,826,1065,880000
2009-07-01,1,2,826,1065,880000
2009-07-01,1,2,826,1065,880000
2009-06-01,1,3,825,1152,950000
2009-06-01,1,3,825,1206,995000
2009-06-01,1,3,825,1206,995000
2009-06-01,1,3,825,1206,995000
2009-05-01,1,2,763,904,690000
2009-04-01,1,3,755,1206,910000
2009-04-01,1,3,755,1205,910000
2009-04-01,1,3,755,1206,910000
2008-12-01,1,2,768,1055,810000
2008-12-01,1,2,768,1055,810000
2008-12-01,1,2,768,1055,810000
2008-11-01,1,3,761,1206,918000
2008-10-01,1,4,856,1379,1180000
2008-10-01,1,4,856,1378,1180000
2008-10-01,1,4,856,1378,1180000
2008-09-01,1,3,808,1281,1035000
2008-09-01,1,3,808,1281,1035000
2008-09-01,1,3,808,1281,1035000
2008-09-01,1,3,790,1249,986710
2008-08-01,1,2,845,1054,891000
2008-08-01,1,2,845,1054,891000
2008-08-01,1,2,845,1054,891000
2008-08-01,1,3,830,1249,1037000
2008-08-01,1,3,830,1249,1037000
2008-08-01,1,3,830,1249,1037000
2008-07-01,1,2,810,904,732240
2008-07-01,1,2,810,904,732240
2008-07-01,1,2,810,904,732240
2008-06-01,1,3,898,1248,1121000
2008-06-01,1,3,898,1248,1121000
2008-06-01,1,3,898,1248,1121000
2008-06-01,1,3,800,1291,1033000
2008-06-01,1,2,839,1055,885000
2008-05-01,1,4,798,1378,1100000
2008-04-01,1,2,823,957,788000
2008-04-01,1,4,893,1377,1230000
2008-03-01,1,3,885,1152,1020000
2008-03-01,1,3,886,1151,1020000
2008-03-01,1,3,885,1152,1020000
2008-03-01,1,2,807,1066,860000
2008-02-01,1,3,850,1206,1025000
2008-02-01,1,3,850,1206,1025000
2008-02-01,1,3,850,1206,1025000
2008-02-01,1,3,859,1152,990000
2008-02-01,1,3,860,1151,990000
2008-02-01,1,3,859,1152,990000
2008-02-01,1,2,902,915,825000
2008-02-01,1,2,902,915,825000
2008-02-01,1,2,902,915,825000
2008-01-01,1,3,900,1206,1085000
2007-12-01,1,2,748,1055,788888
2007-12-01,1,2,748,1055,788888
2007-12-01,1,2,748,1055,788888
2007-11-01,1,2,787,915,720000
2007-11-01,1,2,787,915,720000
2007-11-01,1,2,787,915,720000
2007-11-01,1,3,882,1281,1130000
2007-10-01,1,3,831,1249,1038000
2007-10-01,1,3,831,1249,1038000
2007-10-01,1,3,831,1249,1038000
2007-09-01,1,4,835,1377,1150000
2007-09-01,1,3,867,1292,1120000
2007-09-01,1,3,829,1152,955000
2007-09-01,1,3,829,1152,955000
2007-09-01,1,3,829,1152,955000
2007-09-01,1,2,807,1066,860000
2007-08-01,1,3,759,1206,915000
2007-08-01,1,3,759,1206,915000
2007-08-01,1,3,759,1206,915000
2007-08-01,1,3,820,1280,1050000
2007-07-01,1,3,914,1291,1180000
2007-07-01,1,3,788,1206,950000
2007-06-01,1,2,720,958,690000
2007-06-01,1,3,695,1292,898000
2007-06-01,1,4,715,1378,984960
2007-06-01,1,3,722,1205,869989
2007-05-01,1,2,692,1055,730000
2007-05-01,1,4,678,1378,934322
2007-05-01,1,3,666,1280,852508
2007-05-01,1,3,677,1248,844905
2007-05-01,1,3,665,1291,858505
2007-05-01,1,4,702,1378,967680
2007-05-01,1,4,714,1377,983240
2007-05-01,1,3,725,1206,874168
2007-05-01,1,3,671,1282,860100
2007-05-01,1,2,694,915,635000
2007-05-01,1,2,694,915,635000
2007-05-01,1,2,694,915,635000
2007-05-01,1,4,695,1377,956920
2007-04-01,1,3,632,1291,815760
2007-04-01,1,3,657,1281,841770
2007-04-01,1,3,660,1249,824320
2007-04-01,1,3,646,1248,806400
2007-04-01,1,3,654,1282,838120
2007-04-01,1,4,675,1378,930424
2007-04-01,1,3,648,1280,829480
2007-04-01,1,3,693,1206,835783
2007-04-01,1,3,658,1280,842400
2007-04-01,1,4,678,1378,934500
2007-04-01,1,3,650,1249,811720
2007-04-01,1,3,649,1281,831680
2007-03-01,1,3,641,1280,820580
2007-03-01,1,3,627,1292,810362
2007-03-01,1,3,631,1281,808120
2007-03-01,1,3,674,1280,862960
2007-03-01,1,3,636,1248,793880
2007-03-01,1,3,664,1248,828590
2007-03-01,1,2,662,1054,698000
2007-03-01,1,3,658,1205,792990
2007-02-01,1,3,644,1291,831203
2007-02-01,1,3,643,1280,823250
2007-02-01,1,4,684,1378,942760
2007-02-01,1,3,652,1281,835380
2007-02-01,1,3,656,1206,791210
2007-02-01,1,3,645,1292,833560
2007-02-01,1,3,648,1292,837200
2007-01-01,1,3,650,1249,811680
2007-01-01,1,3,650,1249,811680
2007-01-01,1,3,650,1249,811680
2006-12-01,1,3,650,1292,839930
2006-12-01,1,3,650,1292,839930
2006-12-01,1,3,650,1292,839930
2006-12-01,1,3,653,1281,836600
2006-12-01,1,3,659,1280,843720
2006-12-01,1,3,645,1249,805450
2006-12-01,1,3,645,1249,805450
2006-12-01,1,3,645,1249,805450
2006-11-01,1,3,637,1292,823250
2006-11-01,1,3,671,1249,838380
2006-11-01,1,3,666,1249,832150
2006-11-01,1,3,666,1248,831290
2006-10-01,1,3,639,1292,825000
2006-10-01,1,3,639,1292,825000
2006-10-01,1,3,639,1291,825000
2006-10-01,1,3,681,1248,850000
2006-10-01,1,4,682,1378,940000
2006-10-01,1,3,649,1248,810000
2006-08-01,1,3,554,1637,907142
2006-08-01,1,2,634,1066,675900
2006-08-01,1,3,650,1249,812000
2006-07-01,1,3,614,1292,793000
2006-07-01,1,3,601,1205,724481
2006-07-01,1,3,610,1291,787600
2006-07-01,1,3,638,1248,796000
2006-07-01,1,3,670,1249,837000
2006-07-01,1,2,633,904,572200
2006-06-01,1,2,623,1066,664200
2006-06-01,1,3,653,1280,836100
2006-06-01,1,2,603,1065,642100
2006-06-01,1,2,622,1065,662640
2006-06-01,1,4,653,1377,899360
2006-06-01,1,3,649,1281,831600
2006-06-01,1,3,640,1249,799168
2006-06-01,1,2,609,904,550800
2006-05-01,1,3,632,1205,761400
2006-05-01,1,3,587,1152,676329
2006-05-01,1,2,600,903,542080
2006-05-01,1,2,613,1065,652960
2006-05-01,1,2,573,905,518320
2006-05-01,1,2,580,904,524480
2006-05-01,1,2,617,1065,657360
2006-05-01,1,3,562,1151,646800
2006-05-01,1,3,573,1152,660000
2006-05-01,1,2,611,904,552040
2006-05-01,1,2,634,904,573120
2006-05-01,1,3,635,1205,765000
2006-05-01,1,3,590,1152,679640
2006-05-01,1,2,616,904,557100
2006-05-01,1,3,647,1205,779680
2006-05-01,1,2,618,904,558911
2006-05-01,1,3,615,1292,794535
2006-05-01,1,2,591,904,534100
2006-05-01,1,2,629,903,568300
2006-05-01,1,2,625,914,571508
2006-05-01,1,3,593,1151,682600
2006-05-01,1,3,588,1151,677000
2006-05-01,1,2,623,1066,664400
2006-05-01,1,2,619,915,566120
2006-05-01,1,3,658,1250,822200
2006-05-01,1,2,616,1249,769547
2006-05-01,1,2,591,1066,630155
2006-05-01,1,2,576,903,520384
2006-05-01,1,2,595,1065,633640
2006-05-01,1,2,623,904,563400
2006-05-01,1,2,620,958,594000
2006-05-01,1,3,590,1151,679000
2006-05-01,1,3,583,1292,752953
2006-05-01,1,3,592,1292,764783
2006-05-01,1,2,612,1055,645700
2006-05-01,1,2,571,904,515960
2006-05-01,1,2,581,915,531800
2006-05-01,1,3,601,1292,776440
2006-05-01,1,2,581,1055,612760
2006-05-01,1,2,601,916,550300
2006-05-01,1,4,678,1377,933700
2006-05-01,1,2,638,958,611500
2006-05-01,1,2,625,1065,665560
2006-04-01,1,2,608,1066,648400
2006-04-01,1,3,623,1205,750780
2006-04-01,1,2,622,1066,662920
2006-04-01,1,3,572,1529,874746
2006-04-01,1,2,602,1066,641800
2006-04-01,1,2,601,916,550280
2006-04-01,1,3,614,1151,706900
2006-04-01,1,2,626,915,572800
2006-04-01,1,3,601,1152,692289
2006-04-01,1,4,684,1378,942700
2006-04-01,1,2,608,915,556548
2006-04-01,1,3,457,1561,713241
2006-04-01,1,2,602,915,550572
2006-04-01,1,3,673,1248,840100
2006-04-01,1,3,558,1508,841572
2006-04-01,1,2,605,958,579786
2006-04-01,1,4,648,1377,892515
2006-04-01,1,3,636,1249,794430
2006-04-01,1,3,643,1249,803160
2006-04-01,1,2,605,958,579320
2006-04-01,1,3,614,1292,793557
2006-04-01,1,3,634,1249,792141
2006-04-01,1,2,592,1055,624582
2006-04-01,1,3,652,1248,813636
2006-04-01,1,2,607,1054,639909
2006-04-01,1,2,578,1054,609354
2006-04-01,1,2,601,958,575800
2006-04-01,1,3,632,1248,788726
2006-04-01,1,2,606,915,554355
2006-04-01,1,2,591,1054,623128
2006-04-01,1,4,643,1378,886095
2006-04-01,1,3,631,1249,788319
2006-04-01,1,3,571,1153,658126
2006-04-01,1,2,578,916,529232
2006-04-01,1,3,626,1205,754272
2006-04-01,1,2,584,1055,615863
2006-04-01,1,2,595,916,544752
2006-04-01,1,4,639,1379,880915
2006-04-01,1,2,622,959,596200
2006-04-01,1,3,609,1152,701500
2006-04-01,1,3,622,1205,749460
2006-04-01,1,3,592,1152,681910
2006-04-01,1,2,603,914,551405
2006-04-01,1,2,618,957,591640
2006-04-01,1,3,639,1249,798116
2006-04-01,1,2,621,959,595386
2006-04-01,1,3,607,1205,731536
2006-04-01,1,3,628,1205,756582
2006-04-01,1,2,585,1054,616616
2006-04-01,1,3,603,1152,694908
2006-04-01,1,4,668,1377,920000
2006-04-01,1,2,591,1517,896800
2006-04-01,1,4,638,1377,878355
2006-04-01,1,2,574,1054,605203
2006-04-01,1,2,615,904,555700
2006-04-01,1,2,579,1056,611178
2006-04-01,1,2,583,1056,615465
2006-04-01,1,2,585,959,560816
2006-04-01,1,2,592,959,567450
2006-04-01,1,3,596,1151,686200
2006-04-01,1,3,566,1151,651480
2006-04-01,1,3,593,1293,766533
2006-04-01,1,3,615,1248,767387
2006-04-01,1,2,625,958,598900
2006-03-01,1,3,638,1249,797049
2006-03-01,1,3,627,1248,782752
2004-12-01,1,3,2646,1604,4244000
